Year,Rank,ID,Name,Country,OfficialMoney,EventsPlayed
2018,123,98388,Kim Kaufman,USA,63620,22
2018,124,98246,Cheyenne Woods,USA,62700,21
2018,125,88387,Daniela Iacobelli,USA,62580,16
2018,126,98364,Anne-Catherine Tanguay,CAN,59485,17
2018,127,82819,Brittany Lang,USA,58989,22
2018,128,98276,Rebecca Artis,AUS,57546,20
2018,129,98397,Emily Pedersen,DEN,55025,20
2018,130,93633,Erynne Lee,USA,53122,19
2018,131,88822,Kelly Shon,USA,52429,19
2018,132,98335,Giulia Molinaro,ITA,49316,15
2018,133,98070,Haru Nomura,JPN,47340,17
2018,134,98106,Xiyu Lin,CHN,47123,17
2018,135,82897,Yani Tseng,TPE,45137,20
2018,136,98015,Katherine Perry,USA,41275,10
2018,137,82814,Julieta Granada,PAR,39164,15
2018,138,98931,Olafia Kristinsdottir,ISL,37207,21
2018,139,98240,Katie Burnett,USA,35120,20
2018,140,98891,Tiffany Chan,HKG,34533,19
2018,141,98933,Lindsey Weaver,USA,33371,8
2018,142,98362,Camilla Lennarth,SWE,31790,14
2018,143,88128,Paula Reto,RSA,29669,20
2018,144,88281,Dori Carter,USA,26739,9
2018,145,88236,Amelia Lewis,USA,24762,18
2018,146,88784,Madeleine Sheils,USA,22224,11
2018,147,98269,Lee Lopez,USA,20531,18
2018,148,98776,Gemma Dryburgh,SCO,20286,18
2018,149,88910,Min Lee,TPE,18751,11
2018,150,98284,Jing Yan,CHN,18529,21
2018,151,88313,Sydnee Michaels,USA,16005,13
2018,152,88267,Samantha Troyanovich,USA,14635,11
2018,153,98125,Joanna Klatten,FRA,13119,7
2018,154,88815,Lauren Coughlin,USA,12625,18
2018,155,98223,Alison Lee,USA,12054,16
2018,156,98278,Holly Clyburn,ENG,11789,12
2018,157,81327,Becky Morgan,WAL,11786,13
2018,158,82886,Sarah Kemp,AUS,11492,6
2018,159,98606,Maddie McCrary,USA,10998,10
2018,160,87998,Vicky Hurst,USA,10995,11
2018,161,88943,Allison Emrey,USA,10548,10
2018,162,98963,Kassidy Teare,USA,10076,18
2018,163,99173,Martina Edberg,SWE,8976,8
2018,164,88190,Maria Hernandez,ESP,7866,13
2018,165,98141,Emily Tubert,USA,7606,10
2018,166,88893,Katelyn Sepmoree,USA,7504,10
2018,167,98896,Jennifer Hahn,USA,6373,9
2018,168,80727,Natalie Gulbis,USA,6275,8
2018,169,98687,Leticia Ras-Anderica,GER,5705,13
2018,170,88108,Mika Miyazato,JPN,5298,2
2018,171,80407,Moira Dunn-Bohls,USA,4855,1
2018,172,98720,AJ Newell,USA,3909,9
2018,173,98453,Mind Muangkhumsakul,THA,3882,5
2018,174,80114,Beth Allen,USA,3677,14
2018,175,81605,Laura Diaz,USA,3398,3
2018,176,80903,Juli Inkster,USA,3050,11
2018,177,82878,Na Yeon Choi,KOR,2988,4
2018,178,88508,Brittany Benvenuto,USA,2965,9
2018,179,93340,Belen Mozo,ESP,2610,2
2018,180,88647,Marissa Steen,USA,2544,2
2018,181,98389,Dottie Ardina,PHI,2512,5
2017,1,98648,Sung Hyun Park,KOR,2335883,23
2017,2,98006,So Yeon Ryu,KOR,1981593,23
2017,3,98184,Lexi Thompson,USA,1877181,21
2017,4,82874,Shanshan Feng,CHN,1728191,22
2017,5,93475,Ariya Jutanugarn,THA,1549858,27
2017,6,98267,Brooke M. Henderson,CAN,1504869,30
2017,7,81106,Cristie Kerr,USA,1414752,23
2017,8,88109,Anna Nordqvist,SWE,1335164,20
2017,9,98001,Moriya Jutanugarn,THA,1320900,28
2017,10,98371,Sei Young Kim,KOR,1278166,25
2017,11,98372,In Gee Chun,KOR,1250259,23
2017,12,82850,In-Kyung Kim,KOR,1227674,17
2017,13,98109,Lydia Ko,NZL,1177450,26
2017,14,87945,Mi Jung Hur,KOR,1067462,25
2017,15,88105,Stacy Lewis,USA,1057208,25
2017,16,98193,Minjee Lee,AUS,1027941,26
2017,17,88561,Danielle Kang,USA,1005983,25
2017,18,82901,Amy Yang,KOR,991855,23
2017,19,88106,Michelle Wie,USA,930575,24
2017,20,98054,Mirim Lee,KOR,920196,22
2017,21,88510,Lizette Salas,USA,878283,27
2017,22,98183,Mi Hyang Lee,KOR,802710,27
2017,23,82847,Eun-Hee Ji,KOR,800276,24
2017,24,93254,Carlota Ciganda,ESP,765008,22
2017,25,82866,Inbee Park,KOR,755651,15
2017,26,88399,Jessica Korda,USA,702097,21
2017,27,98011,Marina Alex,USA,699895,25
2017,28,87987,Chella Choi,KOR,682476,29
2017,29,80850,Katherine Kirk,AUS,678831,24
2017,30,98010,Brittany Altomare,USA,656556,26
2017,31,88290,Jodi Ewart Shadoff,ENG,623086,26
2017,32,80142,Brittany Lincicome,USA,579061,24
2017,33,98213,Austin Ernst,USA,549773,28
2017,34,87765,Gerina Piller,USA,541977,22
2017,35,98070,Haru Nomura,JPN,520948,25
2017,36,88308,Jenny Shin,KOR,515848,25
2017,37,81622,Suzann Pettersen,NOR,507398,21
2017,38,98236,Hyo Joo Kim,KOR,492408,22
2017,39,98119,Caroline Masson,GER,479294,27
2017,40,80906,Karine Icher,FRA,477359,28
2017,41,88348,Jacqui Concolino,USA,469300,26
2017,42,82896,Ashleigh Buhai,RSA,461094,21
2017,43,98244,Megan Khang,USA,456319,32
2017,44,98263,Angel Yin,USA,455235,25
2017,45,88110,Pornanong Phatlum,THA,447393,28
2017,46,98215,Charley Hull,ENG,442942,22
2017,47,98350,Nelly Korda,USA,442068,23
2017,48,88275,Jennifer Song,USA,423486,29
2017,49,98642,Madelene Sagstrom,SWE,412574,24
2017,50,82817,Sarah Jane Smith,AUS,411933,31
2017,51,98192,Su Oh,AUS,408941,28
2017,52,81901,Angela Stanford,USA,367119,29
2017,53,93422,Ha Na Jang,KOR,359203,9
2017,54,93275,Jeong Eun Lee,KOR,355341,22
2017,55,81127,Candie Kung,TPE,355189,28
2017,56,82867,Jane Park,USA,341793,24
2017,57,98444,Nicole Broch Larsen,DEN,330516,22
2017,58,98388,Kim Kaufman,USA,326459,29
2017,59,82873,Sandra Gal,GER,318529,27
2017,60,93391,Ayako Uehara,JPN,313353,28
2017,61,80144,Alena Sharp,CAN,310435,29
2017,62,88213,Pernilla Lindberg,SWE,295505,28
2017,63,88114,Azahara Munoz,ESP,286417,26
2017,64,87662,Mo Martin,USA,284919,26
2017,65,53696,Gaby Lopez,MEX,283569,28
2017,66,98284,Jing Yan,CHN,261402,23
2017,67,98158,Peiyun Chien,TPE,260841,29
2017,68,98440,Ally McDonald,USA,257519,23
2017,69,82819,Brittany Lang,USA,248934,25
2017,70,88556,Cydney Clanton,USA,246414,25
2017,71,98290,Wei-Ling Hsu,TPE,240212,24
2017,72,82836,Sun Young Yoo,KOR,235898,22
2017,73,88855,Laura Gonzalez Escallon,BEL,226165,25
2017,74,98931,Olafia Kristinsdottir,ISL,219134,26
2017,75,88214,Ryann O'Toole,USA,213016,25
2017,76,88271,Tiffany Joh,USA,203875,25
2017,77,88113,Beatriz Recari,ESP,197765,24
2017,78,82827,Morgan Pressel,USA,195000,26
2017,79,98216,Jaye Marie Green,USA,184823,23
2017,80,82313,Karrie Webb,AUS,168498,19
2017,81,82824,Ai Miyazato,JPN,167285,12
2017,82,93411,Lindy Duncan,USA,165583,21
2017,83,82863,Lee-Anne Pace,RSA,163831,22
2017,84,98652,Aditi Ashok,IND,162143,21
2017,85,98125,Joanna Klatten,FRA,158381,22
2017,86,98223,Alison Lee,USA,155163,22
2017,87,81112,Christina Kim,USA,151669,25
2017,88,88822,Kelly Shon,USA,146866,24
2017,89,80130,Paula Creamer,USA,141428,18
2017,90,98397,Emily Pedersen,DEN,138946,15
2017,91,82892,Hee Young Park,KOR,131235,22
2017,92,93651,Caroline Hedwall,SWE,125240,19
2017,93,98279,Bronte Law,ENG,124172,17
2017,94,93451,Mel Reid,ENG,119755,19
2017,95,98240,Katie Burnett,USA,118159,22
2017,96,87888,Sandra Changkija,USA,113849,15
2017,97,98084,Amy Olson,USA,112075,22
2017,98,88276,Mariajo Uribe,COL,110296,22
2017,99,82897,Yani Tseng,TPE,107504,25
2017,100,98313,Perrine Delacour,FRA,98261,20
2017,101,88543,Jasmine Suwannapura,THA,97715,20
2017,102,98382,Simin Feng,CHN,93694,22
2017,103,81313,Catriona Matthew,SCO,93245,18
2017,104,93340,Belen Mozo,ESP,92377,19
2017,105,88647,Marissa Steen,USA,91223,23
2017,106,98788,Wichanee Meechai,THA,90395,21
2017,107,98246,Cheyenne Woods,USA,90392,21
2017,108,87949,Haeji Kang,KOR,87160,9
2017,109,88036,Jackie Stoelting,USA,84552,21
2017,110,80114,Beth Allen,USA,83381,21
2017,111,98335,Giulia Molinaro,ITA,83147,19
2017,112,98278,Holly Clyburn,ENG,82427,15
2017,113,98359,Dani Holmqvist,SWE,81995,20
2017,114,98095,Mariah Stackhouse,USA,81678,15
2017,115,88236,Amelia Lewis,USA,80897,21
2017,116,88260,Mina Harigae,USA,79636,17
2017,117,98482,Sherman Santiwiwatthanaphong,THA,77080,21
2017,118,80149,Kris Tamulis,USA,75451,19
2017,119,98269,Lee Lopez,USA,73382,21
2017,120,80903,Juli Inkster,USA,69693,10
2017,121,98139,Laetitia Beck,ISR,68967,20
2017,122,98015,Katherine Perry,USA,66521,20
2017,123,82603,Ilhee Lee,KOR,65476,19
2017,124,81327,Becky Morgan,WAL,62753,19
2017,125,87998,Vicky Hurst,USA,60471,20
2017,126,98106,Xiyu Lin,CHN,60313,20
2017,127,98239,Annie Park,USA,59914,17
2017,128,88910,Min Lee,TPE,59300,21
2017,129,98781,Pannarat Thanapolboonyaras,THA,58766,16
2017,130,98073,Pavarisa Yoktuan,THA,56503,19
2017,131,88128,Paula Reto,RSA,55267,23
2017,132,87905,Nontaya Srisawang,THA,52282,21
2017,133,88281,Dori Carter,USA,48353,19
2017,134,98137,Maude-Aimee Leblanc,CAN,47523,17
2017,135,82878,Na Yeon Choi,KOR,46311,20
2017,136,98748,Dana Finkelstein,USA,40233,17
2017,137,93184,Sakura Yokomine,JPN,38686,17
2017,138,98818,Karen Chung,USA,38649,19
2017,139,93499,Rachel Rohanna,USA,38537,9
2017,140,98830,Nasa Hataoka,JPN,37852,19
2017,141,93328,Brianna Do,USA,36941,10
2017,142,98249,Brooke Pancake,USA,35553,14
2017,143,98389,Dottie Ardina,PHI,35275,9
2017,144,88784,Madeleine Sheils,USA,30699,13
2017,145,81605,Laura Diaz,USA,30584,7
2017,146,88614,Therese O'Hara,DEN,26795,17
2017,147,98141,Emily Tubert,USA,26710,12
2017,148,53829,Kelly Tan,MAS,25966,20
2017,149,88881,Demi Runas,USA,24020,15
2017,150,98489,Celine Herbin,FRA,24018,20
2017,151,88231,Min Seo Kwak,KOR,23620,19
2017,152,53198,Alejandra Llaneza,MEX,23404,7
2017,153,88947,Stephanie Meadow,NIR,22395,17
2017,154,98136,Augusta James,CAN,20706,9
2017,155,82630,Laura Davies,ENG,18742,13
2017,156,88778,Sadena Parks,USA,18628,19
2017,157,88108,Mika Miyazato,JPN,18390,10
2017,158,88158,Cindy LaCrosse,USA,18257,8
2017,159,82886,Sarah Kemp,AUS,15872,13
2017,160,98548,Prima Thammaraks,THA,15510,9
2017,161,93267,Felicity Johnson,ENG,15248,8
2017,162,98534,Allyssa Ferrell,USA,14715,7
2017,163,98928,Regan De Guzman,USA,12065,13
2017,164,98670,Min-G Kim,KOR,10589,8
2017,165,98863,Maria Parra,ESP,9744,18
2017,166,93474,P.K. Kongkraphan,THA,8642,8
2017,167,88498,Hannah Burke,ENG,8421,6
2017,168,98363,Jennifer Ha,CAN,5956,18
2017,169,98787,Justine Dreher,FRA,5924,9
2017,170,87846,Mindy Kim,USA,4751,4
2017,171,98528,Jenny Coleman,USA,4640,10
2017,172,80427,Wendy Doolan,AUS,4255,3
2017,173,87712,Samantha Richdale,CAN,3696,4
2017,174,98250,Briana Mao,USA,3649,3
2017,175,80304,Silvia Cavalleri,ITA,3602,3
2017,176,88894,Britney Yada,USA,3456,10
2017,177,88887,Julie Yang,KOR,3351,16
2017,178,98337,Casey Grice,USA,3036,3
2016,1,93475,Ariya Jutanugarn,THA,2550947,28
2016,2,98109,Lydia Ko,NZL,2493059,24
2016,3,98267,Brooke M. Henderson,CAN,1724420,31
2016,4,98372,In Gee Chun,KOR,1501102,19
2016,5,82874,Shanshan Feng,CHN,1458579,21
2016,6,98371,Sei Young Kim,KOR,1445937,25
2016,7,88109,Anna Nordqvist,SWE,1424945,25
2016,8,93422,Ha Na Jang,KOR,1383640,21
2016,9,82819,Brittany Lang,USA,1259836,28
2016,10,98006,So Yeon Ryu,KOR,1259651,24
2016,11,98070,Haru Nomura,JPN,1228319,27
2016,12,98193,Minjee Lee,AUS,1213902,27
2016,13,82901,Amy Yang,KOR,1152686,22
2016,14,93254,Carlota Ciganda,ESP,1116289,26
2016,15,98215,Charley Hull,ENG,1114360,22
2016,16,88105,Stacy Lewis,USA,943502,24
2016,17,98054,Mirim Lee,KOR,933317,24
2016,18,98184,Lexi Thompson,USA,888571,19
2016,19,87765,Gerina Piller,USA,842948,23
2016,20,98236,Hyo Joo Kim,KOR,753638,27
2016,21,87945,Mi Jung Hur,KOR,749782,26
2016,22,81622,Suzann Pettersen,NOR,745593,21
2016,23,87662,Mo Martin,USA,732914,28
2016,24,88399,Jessica Korda,USA,692803,23
2016,25,81127,Candie Kung,TPE,643469,25
2016,26,98119,Caroline Masson,GER,635223,30
2016,27,88308,Jenny Shin,KOR,630649,27
2016,28,80906,Karine Icher,FRA,628968,29
2016,29,82850,In-Kyung Kim,KOR,628908,17
2016,30,88110,Pornanong Phatlum,THA,617761,27
2016,31,87987,Chella Choi,KOR,604684,30
2016,32,88290,Jodi Ewart Shadoff,ENG,593328,26
2016,33,82847,Eun-Hee Ji,KOR,557358,25
2016,34,82892,Hee Young Park,KOR,527442,26
2016,35,82863,Lee-Anne Pace,RSA,523939,26
2016,36,88561,Danielle Kang,USA,505316,27
2016,37,81901,Angela Stanford,USA,488588,26
2016,38,98223,Alison Lee,USA,470783,22
2016,39,81106,Cristie Kerr,USA,456215,25
2016,40,98001,Moriya Jutanugarn,THA,446948,29
2016,41,80144,Alena Sharp,CAN,446245,28
2016,42,98183,Mi Hyang Lee,KOR,442976,27
2016,43,88114,Azahara Munoz,ESP,440968,27
2016,44,81313,Catriona Matthew,SCO,414683,23
2016,45,81112,Christina Kim,USA,411085,27
2016,46,88275,Jennifer Song,USA,390513,25
2016,47,80142,Brittany Lincicome,USA,390170,25
2016,48,82827,Morgan Pressel,USA,386672,24
2016,49,88113,Beatriz Recari,ESP,386325,29
2016,50,98192,Su Oh,AUS,383623,22
2016,51,98213,Austin Ernst,USA,382513,27
2016,52,82313,Karrie Webb,AUS,378876,20
2016,53,98388,Kim Kaufman,USA,366318,30
2016,54,88214,Ryann O'Toole,USA,352869,27
2016,55,82878,Na Yeon Choi,KOR,348444,24
2016,56,82817,Sarah Jane Smith,AUS,340318,28
2016,57,98244,Megan Khang,USA,336016,28
2016,58,88510,Lizette Salas,USA,333013,24
2016,59,88213,Pernilla Lindberg,SWE,329885,30
2016,60,53696,Gaby Lopez,MEX,327031,26
2016,61,98106,Xiyu Lin,CHN,307078,25
2016,62,82873,Sandra Gal,GER,306813,26
2016,63,88276,Mariajo Uribe,COL,291267,27
2016,64,88348,Jacqui Concolino,USA,284710,27
2016,65,98011,Marina Alex,USA,282972,26
2016,66,80130,Paula Creamer,USA,281264,24
2016,67,82824,Ai Miyazato,JPN,275335,26
2016,68,88108,Mika Miyazato,JPN,270663,24
2016,69,82866,Inbee Park,KOR,253381,10
2016,70,80149,Kris Tamulis,USA,250521,28
2016,71,93184,Sakura Yokomine,JPN,241513,30
2016,72,98284,Jing Yan,CHN,237003,26
2016,73,98240,Katie Burnett,USA,233712,24
2016,74,88128,Paula Reto,RSA,224371,27
2016,75,88822,Kelly Shon,USA,209015,27
2016,76,98269,Lee Lopez,USA,202630,26
2016,77,87905,Nontaya Srisawang,THA,199876,23
2016,78,93391,Ayako Uehara,JPN,186613,24
2016,79,98382,Simin Feng,CHN,182169,22
2016,80,88313,Sydnee Michaels,USA,178077,20
2016,81,98137,Maude-Aimee Leblanc,CAN,173443,23
2016,82,98239,Annie Park,USA,172337,25
2016,83,88271,Tiffany Joh,USA,172249,25
2016,84,82867,Jane Park,USA,165969,21
2016,85,98010,Brittany Altomare,USA,164428,18
2016,86,82603,Ilhee Lee,KOR,160811,22
2016,87,53829,Kelly Tan,MAS,153762,23
2016,88,93474,P.K. Kongkraphan,THA,142109,23
2016,89,93411,Lindy Duncan,USA,140373,20
2016,90,NA,Q Baek,NA,139965,18
2016,91,82836,Sun Young Yoo,KOR,125421,21
2016,92,88231,Min Seo Kwak,KOR,117459,20
2016,93,88887,Julie Yang,KOR,116785,21
2016,94,88910,Min Lee,TPE,115784,24
2016,95,98125,Joanna Klatten,FRA,107799,16
2016,96,98246,Cheyenne Woods,USA,106005,21
2016,97,80903,Juli Inkster,USA,104433,13
2016,98,88556,Cydney Clanton,USA,97593,22
2016,99,93651,Caroline Hedwall,SWE,94733,18
2016,100,98489,Celine Herbin,FRA,90577,15
2016,101,87998,Vicky Hurst,USA,85991,21
2016,102,81327,Becky Morgan,WAL,82459,14
2016,103,98290,Wei-Ling Hsu,TPE,79376,22
2016,104,93340,Belen Mozo,ESP,76263,17
2016,105,88106,Michelle Wie,USA,76109,25
2016,106,88236,Amelia Lewis,USA,74587,17
2016,107,82896,Ashleigh Buhai,RSA,73210,16
2016,108,98335,Giulia Molinaro,ITA,72953,19
2016,109,82897,Yani Tseng,TPE,70910,25
2016,110,80850,Katherine Kirk,AUS,70621,17
2016,111,88778,Sadena Parks,USA,68117,18
2016,112,98216,Jaye Marie Green,USA,63928,21
2016,113,98139,Laetitia Beck,ISR,61814,20
2016,114,98028,Christel Boeljon,NED,61606,17
2016,115,88947,Stephanie Meadow,NIR,58041,9
2016,116,98337,Casey Grice,USA,57959,19
2016,117,87888,Sandra Changkija,USA,51654,17
2016,118,88406,Jennifer Johnson,USA,49743,13
2016,119,98084,Amy Olson,USA,47329,19
2016,120,88260,Mina Harigae,USA,46508,19
2016,121,88281,Dori Carter,USA,45577,15
2016,122,98286,Ssu-Chia Cheng,TPE,43828,16
2016,123,98781,Pannarat Thanapolboonyaras,THA,42988,18
2016,124,88881,Demi Runas,USA,42602,12
2016,125,98278,Holly Clyburn,ENG,40685,15
2016,126,87949,Haeji Kang,KOR,38539,14
2016,127,88543,Jasmine Suwannapura,THA,37955,11
2016,128,88520,Karlin Beck,USA,36012,8
2016,129,98250,Briana Mao,USA,35892,14
2016,130,82814,Julieta Granada,PAR,35674,22
2016,131,88387,Daniela Iacobelli,USA,35596,19
2016,132,82886,Sarah Kemp,AUS,34957,18
2016,133,98616,Bertine Strauss,RSA,33478,18
2016,134,98668,Benyapa Niphatsophon,THA,32721,18
2016,135,93499,Rachel Rohanna,USA,32580,19
2016,136,82862,Ji Young Oh,KOR,32008,15
2016,137,81905,Giulia Sergas,ITA,31764,15
2016,138,87712,Samantha Richdale,CAN,31063,13
2016,139,88298,Nannette Hill,USA,29632,14
2016,140,93267,Felicity Johnson,ENG,28703,14
2016,141,98516,Budsabakorn Sukapan,THA,26621,19
2016,142,93314,Stephanie Kono,USA,26165,14
2016,143,98329,Marion Ricordeau,FRA,25164,14
2016,144,88207,Christine Song,USA,24566,16
2016,145,93328,Brianna Do,USA,23833,20
2016,146,98364,Anne-Catherine Tanguay,CAN,23603,10
2016,147,53198,Alejandra Llaneza,MEX,23558,20
2016,148,98440,Ally McDonald,USA,23419,1
2016,149,98359,Dani Holmqvist,SWE,20579,18
2016,150,81603,Se Ri Pak,KOR,20053,10
2016,151,82630,Laura Davies,ENG,19949,15
2016,152,NA,Lisa Ferrero,NA,17681,11
2016,153,88359,Jane Rah,USA,14425,14
2016,154,80822,Maria McBride,SWE,14213,17
2016,155,NA,SooBin Kim,NA,13576,9
2016,156,88647,Marissa Steen,USA,12100,2
2016,157,80141,Meena Lee,KOR,11787,10
2016,158,87761,Alison Walshe,USA,10424,18
2016,159,NA,Sue Kim,NA,10212,1
2016,160,NA,Hannah Collier,NA,9826,10
2016,161,98313,Perrine Delacour,FRA,9736,5
2016,162,98113,Sophia Popov,GER,9614,1
2016,163,NA,Jiayi Zhou,NA,9074,10
2016,164,98548,Prima Thammaraks,THA,6871,8
2016,165,NA,Ashlan Ramsey,NA,6778,17
2016,166,81028,Nicole Jeray,USA,6255,8
2016,167,88253,Dewi Claire Schreefel,NED,5947,13
2016,168,NA,Cyna Rodriguez,NA,5482,15
2016,169,NA,Jaclyn Jansen,NA,5228,8
2016,170,NA,Grace Na,NA,3949,18
2016,171,88158,Cindy LaCrosse,USA,3430,3
2016,172,80223,Heather Bowie Young,USA,3229,7
2015,1,98109,Lydia Ko,NZL,2800802,24
2015,2,82866,Inbee Park,KOR,2630011,25
2015,3,88105,Stacy Lewis,USA,1893423,26
2015,4,98371,Sei Young Kim,KOR,1820056,27
2015,5,98184,Lexi Thompson,USA,1763904,24
2015,6,82901,Amy Yang,KOR,1438312,23
2015,7,81106,Cristie Kerr,USA,1294301,25
2015,8,98006,So Yeon Ryu,KOR,1292395,25
2015,9,82874,Shanshan Feng,CHN,1086338,21
2015,10,88109,Anna Nordqvist,SWE,977743,25
2015,11,82827,Morgan Pressel,USA,962794,27
